"","Age","Country","TRAD_F_1","TRAD_F_2","TRAD_F_3","TRAD_F_4","TRAD_F_5","TRAD_F_6","TRAD_F_7","TRAD_F_8","TRAD_F_9","TRAD_F_10","TRAD_F_11","TRAD_F_12","TRAD_M_13","TRAD_M_14","TRAD_M_15","TRAD_M_16","TRAD_M_17","TRAD_M_18","SEX_BIN","ATG1R","ATG2R","ATG3R","ATG4R","ATG5R","ATL1R","ATL2R","ATL3R","ATL4R","ATL5R","SSM","SSP","CONTBIN","ATTGL","GRTRAD","REL_1rec","REL_2rec","RELIGIOSITY_NEW","ATT_GAY","ATT_LESB","ATT_GL","Numb_Contacts","Meanqual","RELIGIOSITY","Contact2"
"9342",27,"Belgium",5,1,1,1,5,1,3,1,2,1,1,1,3,4,1,1,2,1,"Female",4,4,3,4,4,4,4,4,4,4,6,6,"Contact",3.9,2.06666666666667,3,2,1.6,3.8,4,3.9,9,4.5,1.6,18
"9343",NA,"Belgium",3,3,1,1,4,1,3,3,2,1,1,1,3,1,1,1,1,1,"Female",4,4,4,4,4,4,4,4,4,4,6,5,"Contact",4,1.8,2,3,1.7,4,4,4,7,4.5,1.7,14
"9344",40,"Belgium",1,2,2,1,4,2,1,2,2,1,1,1,3,3,2,2,1,1,"Female",4,4,3,4,4,4,4,3,4,4,6,6,"Contact",3.8,1.86666666666667,2,2,1.1,3.8,3.8,3.8,3,2.5,1.1,0
"9345",NA,"Belgium",4,1,1,1,4,1,2,1,3,1,1,1,2,3,3,2,2,2,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"Contact",4,2,2,2,1.1,4,4,4,2,5,1.1,5
"9346",19,"Belgium",5,4,1,1,5,5,6,4,6,4,1,3,4,3,3,3,1,3,"Female",4,4,3,4,4,4,4,3,4,4,6,6,"Contact",3.8,3.6,3,3,2.2,3.8,3.8,3.8,12,4,2.2,18
"9347",24,"Belgium",5,4,5,1,5,4,5,4,5,5,5,4,4,5,5,4,5,5,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"Contact",4,4.4,3,4,2.8,4,4,4,10,4,2.8,15
"9348",19,"Belgium",6,5,3,4,6,4,4,4,3,5,4,3,4,NA,NA,NA,NA,NA,"Female",1,1,1,1,2,1,1,1,1,1,1,1,"Contact",1.1,4.25,7,5,5.4,1.2,1,1.1,3,2,5.4,-1.5
"9349",21,"Belgium",2,1,1,1,2,1,2,1,2,1,2,1,2,2,1,1,1,1,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"Contact",4,1.46666666666667,3,2,1.6,4,4,4,5,3.5,1.6,5
"9350",21,"Belgium",4,1,1,1,4,1,3,2,4,1,1,6,2,3,4,4,2,4,"Female",4,4,3,4,4,4,4,3,4,4,6,3,"Contact",3.8,2.66666666666667,4,4,3.3,3.8,3.8,3.8,2,4,3.3,3
"9351",23,"Belgium",5,4,3,1,5,2,6,4,6,4,2,4,4,4,4,3,4,4,"Female",4,4,2,4,3,4,4,2,4,3,6,5,"Contact",3.4,3.8,3,3,2.2,3.4,3.4,3.4,9,4.33333333333333,2.2,16.5
