"","Age","Country","TRAD_F_1","TRAD_F_2","TRAD_F_3","TRAD_F_4","TRAD_F_5","TRAD_F_6","TRAD_F_7","TRAD_F_8","TRAD_F_9","TRAD_F_10","TRAD_F_11","TRAD_F_12","TRAD_M_13","TRAD_M_14","TRAD_M_15","TRAD_M_16","TRAD_M_17","TRAD_M_18","SEX_BIN","ATG1R","ATG2R","ATG3R","ATG4R","ATG5R","ATL1R","ATL2R","ATL3R","ATL4R","ATL5R","SSM","SSP","CONTBIN","ATTGL","GRTRAD","REL_1rec","REL_2rec","RELIGIOSITY_NEW","ATT_GAY","ATT_LESB","ATT_GL","Numb_Contacts","Meanqual","RELIGIOSITY","Contact2"
"1",22,"France",4,3,1,1,4,3,2,2,4,3,1,4,4,4,3,2,3,1,"Female",4,4,3,4,4,4,4,2,4,4,5,NA,"No contact",3.7,2.86666666666667,3,4,2.8,3.8,3.6,3.7,0,NA,2.8,NA
"2",22,"France",2,5,4,4,5,3,5,5,5,3,5,4,4,4,5,4,4,4,"Female",3,4,3,4,4,3,4,3,4,4,6,5,"No contact",3.6,4.13333333333333,3,3,2.2,3.6,3.6,3.6,0,NA,2.2,NA
"3",20,"France",4,3,1,2,5,1,1,2,1,1,1,1,2,2,2,4,2,1,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"No contact",4,2.06666666666667,3,2,1.6,4,4,4,0,NA,1.6,NA
"4",18,"France",6,3,2,5,6,5,5,2,4,4,6,4,5,5,2,NA,4,NA,"Female",1,1,1,2,1,1,1,1,2,1,1,1,"No contact",1.2,4.42857142857143,2,5,2.9,1.2,1.2,1.2,0,NA,2.9,NA
"5",47,"France",6,NA,3,3,6,3,6,4,6,3,5,3,5,3,5,NA,NA,4,"Female",3,3,2,3,4,3,3,2,3,4,5,2,"No contact",3,4.38461538461539,2,2,1.1,3,3,3,0,NA,1.1,NA
"6",18,"France",2,2,1,2,4,3,3,3,2,2,2,2,3,3,3,4,2,3,"Female",3,3,3,3,3,3,3,3,3,3,5,2,"No contact",3,2.53333333333333,2,2,1.1,3,3,3,0,NA,1.1,NA
"7",21,"France",5,4,2,2,5,1,5,3,4,3,1,3,3,4,2,3,3,3,"Female",4,4,3,4,4,4,4,3,4,4,6,6,"No contact",3.8,3.13333333333333,2,3,1.7,3.8,3.8,3.8,0,NA,1.7,NA
"8",26,"France",6,5,2,1,4,1,1,6,2,2,2,2,4,2,2,3,3,2,"Female",4,4,3,4,4,4,4,3,4,4,5,5,"No contact",3.8,2.6,3,5,3.4,3.8,3.8,3.8,0,NA,3.4,NA
"9",26,"France",5,4,NA,1,6,1,6,6,3,2,6,4,NA,NA,NA,NA,NA,NA,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"No contact",4,3.8,2,2,1.1,4,4,4,0,NA,1.1,NA
"10",20,"France",6,4,2,2,6,2,3,4,4,4,3,4,5,5,4,4,4,4,"Female",3,3,3,3,3,3,3,3,3,3,5,NA,"No contact",3,3.86666666666667,2,3,1.7,3,3,3,0,NA,1.7,NA
"11",24,"France",4,6,5,3,4,5,5,6,3,6,5,5,6,6,4,2,6,6,"Female",1,1,1,1,2,1,1,1,1,1,1,1,"No contact",1.1,4.6,2,5,2.9,1.2,1,1.1,0,NA,2.9,NA
"12",18,"France",5,4,2,3,5,3,5,4,5,4,4,4,5,4,4,4,4,4,"Female",4,4,3,4,4,4,4,3,4,4,5,5,"No contact",3.8,4.06666666666667,4,3,2.7,3.8,3.8,3.8,0,NA,2.7,NA
"13",NA,"France",5,2,1,1,6,1,3,4,1,1,1,2,3,4,1,1,1,1,"Female",4,4,3,4,4,4,4,2,3,3,5,5,"No contact",3.5,2.2,2,2,1.1,3.8,3.2,3.5,0,NA,1.1,NA
"14",18,"France",4,3,1,1,5,1,4,1,5,2,4,1,3,2,3,2,3,3,"Female",3,4,3,4,4,3,4,3,4,4,5,5,"No contact",3.6,2.73333333333333,2,3,1.7,3.6,3.6,3.6,0,NA,1.7,NA
"15",19,"France",4,3,1,2,4,2,3,3,4,4,3,4,3,3,3,4,3,3,"Female",4,4,1,4,4,4,4,2,4,4,6,5,"No contact",3.5,3.13333333333333,3,2,1.6,3.4,3.6,3.5,0,NA,1.6,NA
"16",19,"France",6,4,1,1,6,5,5,5,6,4,4,3,2,2,2,2,2,2,"Female",4,4,4,4,4,4,4,4,4,4,5,2,"No contact",4,3.53333333333333,2,2,1.1,4,4,4,0,NA,1.1,NA
"17",20,"France",3,4,2,1,3,3,5,3,4,3,3,3,3,3,3,4,3,4,"Female",3,3,2,3,3,3,3,2,3,3,2,2,"No contact",2.8,3.13333333333333,3,4,2.8,2.8,2.8,2.8,0,NA,2.8,NA
"18",NA,"France",5,5,1,1,6,2,4,5,5,2,1,1,1,1,1,1,1,1,"Female",4,4,1,4,4,4,4,1,4,4,6,6,"No contact",3.4,2.46666666666667,2,2,1.1,3.4,3.4,3.4,0,NA,1.1,NA
"19",19,"France",3,2,1,1,3,2,2,2,3,2,2,2,2,4,2,2,3,3,"Female",4,4,1,4,2,4,4,1,4,2,5,5,"No contact",3,2.2,2,4,2.3,3,3,3,0,NA,2.3,NA
"20",22,"France",6,5,1,1,6,5,5,4,4,2,5,3,3,5,3,3,4,3,"Female",4,4,4,4,4,4,4,4,4,4,6,5,"No contact",4,3.8,2,2,1.1,4,4,4,0,NA,1.1,NA
"21",20,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No contact",NA,NA,3,3,2.2,NA,NA,NA,0,NA,2.2,NA
"22",24,"France",2,2,1,1,2,1,1,2,1,2,1,5,5,2,5,5,1,2,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"No contact",4,2.4,2,2,1.1,4,4,4,0,NA,1.1,NA
"23",23,"France",6,5,1,3,NA,2,6,5,6,2,2,2,4,4,3,3,2,3,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"No contact",4,3.5,3,4,2.8,4,4,4,0,NA,2.8,NA
"24",19,"France",6,2,2,1,6,1,6,2,1,2,2,1,1,2,1,2,1,1,"Female",1,3,2,4,4,1,3,2,4,4,4,1,"No contact",2.8,2.4,2,3,1.7,2.8,2.8,2.8,0,1,1.7,0
"25",23,"France",5,5,4,4,5,5,6,5,6,4,3,3,5,6,6,5,6,5,"Female",1,1,2,1,1,1,1,1,1,1,1,1,"No contact",1.1,4.8,3,6,4,1.2,1,1.1,0,NA,4,NA
"26",20,"France",4,5,1,1,5,1,5,3,4,4,4,4,4,4,3,3,3,3,"Female",4,4,3,4,3,4,4,3,4,3,2,2,"No contact",3.6,3.46666666666667,4,4,3.3,3.6,3.6,3.6,0,NA,3.3,NA
"27",18,"France",5,3,2,2,5,4,4,4,4,4,1,4,4,4,4,3,4,3,"Female",3,3,3,3,4,3,3,3,3,3,5,5,"No contact",3.1,3.53333333333333,2,2,1.1,3.2,3,3.1,0,NA,1.1,NA
"28",NA,"France",3,1,1,1,4,2,5,1,2,1,1,4,1,1,1,2,1,1,"Female",4,4,1,4,4,4,4,1,4,4,6,5,"No contact",3.4,2,2,2,1.1,3.4,3.4,3.4,0,NA,1.1,NA
"29",22,"France",3,1,1,1,4,1,5,3,5,1,1,2,1,1,1,1,1,1,"Female",4,4,3,4,4,4,4,3,4,4,6,6,"No contact",3.8,1.93333333333333,2,2,1.1,3.8,3.8,3.8,0,NA,1.1,NA
"30",NA,"France",4,1,1,1,5,1,6,1,4,1,1,1,5,4,1,1,1,3,"Female",4,4,3,4,4,2,4,3,4,4,6,6,"No contact",3.6,2.46666666666667,2,3,1.7,3.8,3.4,3.6,0,NA,1.7,NA
"31",23,"France",6,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,"Female",4,4,1,4,4,4,4,1,4,4,6,6,"No contact",3.4,1.66666666666667,2,2,1.1,3.4,3.4,3.4,0,NA,1.1,NA
"32",19,"France",1,2,1,1,2,1,3,4,2,1,1,1,3,3,3,NA,3,3,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"No contact",4,1.78571428571429,2,2,1.1,4,4,4,0,NA,1.1,NA
"33",21,"France",4,2,1,1,5,4,5,5,4,3,4,4,3,1,3,3,3,3,"Female",3,4,2,3,3,3,4,2,3,3,6,6,"No contact",3,3.13333333333333,2,2,1.1,3,3,3,0,NA,1.1,NA
"34",19,"France",5,5,5,4,4,4,4,4,4,5,3,4,6,6,5,5,6,6,"Female",2,3,1,3,3,3,3,1,3,3,1,1,"No contact",2.5,4.6,2,2,1.1,2.4,2.6,2.5,0,NA,1.1,NA
"35",20,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No contact",NA,NA,3,3,2.2,NA,NA,NA,0,NA,2.2,NA
"36",18,"France",5,3,2,2,6,2,6,4,5,4,1,3,5,5,2,6,4,4,"Female",1,1,1,2,2,1,1,1,2,2,1,1,"No contact",1.4,3.8,5,6,5,1.4,1.4,1.4,0,NA,5,NA
"37",22,"France",3,2,1,1,5,1,1,4,1,1,1,1,1,1,1,1,1,1,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"No contact",4,1.46666666666667,2,2,1.1,4,4,4,0,NA,1.1,NA
"38",NA,"France",NA,6,1,6,3,6,4,5,5,3,5,3,NA,NA,NA,NA,NA,NA,"Female",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No contact",3,4.2,3,5,3.4,3,NA,3,0,NA,3.4,NA
"39",43,"France",5,5,1,1,6,1,2,5,6,5,2,4,2,2,2,1,2,2,"Female",4,4,2,4,2,4,4,2,4,2,5,5,"No contact",3.2,3,3,3,2.2,3.2,3.2,3.2,0,NA,2.2,NA
"40",18,"France",5,1,1,1,6,1,6,3,5,3,5,3,2,1,1,3,2,1,"Female",4,4,1,4,4,4,4,1,4,4,5,2,"No contact",3.4,2.93333333333333,3,3,2.2,3.4,3.4,3.4,0,NA,2.2,NA
"41",18,"France",5,4,3,3,5,3,5,5,5,4,5,5,4,4,4,4,4,4,"Female",3,3,3,3,4,3,3,2,3,4,5,5,"No contact",3.1,4.2,2,2,1.1,3.2,3,3.1,0,NA,1.1,NA
"42",20,"France",4,2,1,1,3,1,5,5,5,2,1,2,4,4,3,4,4,3,"Female",3,2,1,3,1,3,2,2,3,1,2,1,"No contact",2.1,2.8,3,2,1.6,2,2.2,2.1,0,NA,1.6,NA
"43",21,"France",4,4,1,1,4,3,4,3,6,6,3,4,3,5,3,1,3,3,"Female",3,4,3,4,4,3,3,4,4,4,6,5,"No contact",3.6,3.46666666666667,2,3,1.7,3.6,3.6,3.6,0,NA,1.7,NA
"44",26,"France",3,1,1,1,NA,1,NA,3,4,1,NA,1,4,NA,NA,NA,NA,NA,"Female",4,4,NA,4,4,4,4,NA,4,4,5,5,"No contact",4,1.88888888888889,2,2,1.1,4,4,4,0,NA,1.1,NA
"45",19,"France",5,1,1,1,5,1,5,2,4,1,1,1,6,5,3,3,3,3,"Female",4,4,1,4,3,4,4,1,4,3,6,6,"No contact",3.2,2.86666666666667,2,2,1.1,3.2,3.2,3.2,0,NA,1.1,NA
"46",19,"France",5,5,1,1,6,3,3,5,4,2,5,2,4,4,3,3,3,3,"Female",4,4,NA,4,4,4,4,NA,4,4,5,4,"No contact",4,3.4,2,3,1.7,4,4,4,0,NA,1.7,NA
"47",26,"France",5,4,2,1,3,3,5,3,5,4,2,3,5,5,3,2,3,2,"Female",1,1,1,2,2,1,1,1,2,2,1,1,"No contact",1.4,3.46666666666667,3,5,3.4,1.4,1.4,1.4,0,NA,3.4,NA
"48",18,"France",1,1,1,1,4,1,3,1,3,1,2,1,4,4,4,4,3,NA,"Female",4,4,3,4,4,4,4,3,4,4,6,6,"No contact",3.8,2.33333333333333,3,4,2.8,3.8,3.8,3.8,0,NA,2.8,NA
"49",NA,"France",3,2,1,2,2,2,4,4,2,2,1,1,3,2,1,1,2,1,"Female",4,4,3,4,4,4,4,3,4,4,6,6,"No contact",3.8,1.93333333333333,2,2,1.1,3.8,3.8,3.8,0,NA,1.1,NA
"50",22,"France",2,1,1,1,4,1,1,2,2,1,1,2,3,1,3,3,1,2,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"No contact",4,1.8,2,2,1.1,4,4,4,0,NA,1.1,NA
"51",20,"France",5,2,1,1,3,1,6,2,2,1,1,1,4,1,6,3,1,1,"Female",4,4,3,4,4,4,4,3,4,4,6,6,"No contact",3.8,2.53333333333333,2,3,1.7,3.8,3.8,3.8,0,NA,1.7,NA
"52",26,"France",5,3,1,1,3,1,1,1,1,1,1,2,1,3,4,4,3,4,"Female",3,2,2,3,3,3,3,2,3,3,4,4,"No contact",2.7,2.13333333333333,2,5,2.9,2.6,2.8,2.7,0,NA,2.9,NA
"53",20,"France",5,4,1,1,4,1,3,2,3,4,5,5,3,1,1,2,1,1,"Female",4,4,1,4,4,4,4,1,4,4,5,4,"No contact",3.4,2.86666666666667,3,2,1.6,3.4,3.4,3.4,0,NA,1.6,NA
"54",22,"France",6,5,1,1,6,5,4,4,4,3,1,2,3,3,2,3,2,2,"Female",4,4,NA,4,4,4,4,NA,4,4,3,2,"No contact",4,3.26666666666667,2,2,1.1,4,4,4,0,NA,1.1,NA
"55",NA,"France",2,2,1,1,2,2,4,2,3,1,1,2,2,2,2,3,3,2,"Female",4,4,3,4,3,4,4,3,4,3,5,4,"No contact",3.6,2,3,2,1.6,3.6,3.6,3.6,0,NA,1.6,NA
"56",19,"France",4,6,1,1,6,5,6,4,6,5,4,3,NA,5,3,5,3,4,"Female",3,4,1,4,4,3,3,1,4,4,2,1,"No contact",3.1,4.28571428571429,5,5,4.4,3.2,3,3.1,0,NA,4.4,NA
"57",21,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",1,1,1,2,1,1,1,1,1,1,1,1,"No contact",1.1,NA,NA,6,6,1.2,1,1.1,0,NA,6,NA
"58",27,"France",4,5,1,2,5,2,6,3,4,2,4,3,4,3,4,4,3,3,"Female",NA,NA,NA,NA,NA,3,3,1,3,3,3,1,"No contact",2.6,3.53333333333333,3,4,2.8,NA,2.6,2.6,0,NA,2.8,NA
"59",NA,"France",1,5,2,1,2,4,2,2,NA,NA,1,2,5,3,2,6,3,5,"Female",2,3,2,3,3,3,3,3,3,2,5,3,"No contact",2.7,2.76923076923077,7,6,6,2.6,2.8,2.7,0,NA,6,NA
"60",30,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",4,4,3,4,4,4,4,3,4,4,5,4,"No contact",3.8,NA,3,3,2.2,3.8,3.8,3.8,0,NA,2.2,NA
"61",20,"France",5,3,5,2,5,2,4,3,5,2,3,2,4,4,4,3,2,2,"Female",2,2,1,2,3,2,2,1,2,3,2,1,"No contact",2,3.53333333333333,3,5,3.4,2,2,2,0,NA,3.4,NA
"62",20,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"No contact",NA,NA,3,5,3.4,NA,NA,NA,0,NA,3.4,NA
"63",19,"France",5,6,1,3,6,6,6,6,4,3,4,5,4,4,4,4,3,3,"Female",1,1,1,1,1,1,1,1,1,1,1,1,"No contact",1,4.33333333333333,3,6,4,1,1,1,0,NA,4,NA
"64",20,"France",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Female",NA,NA,NA,NA,NA,3,3,2,3,2,5,5,"No contact",2.6,3,3,4,2.8,NA,2.6,2.6,0,NA,2.8,NA
"65",23,"France",1,2,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,"Female",4,4,NA,4,4,4,4,NA,4,4,6,6,"No contact",4,1.26666666666667,2,2,1.1,4,4,4,0,NA,1.1,NA
"66",21,"France",6,5,2,1,5,1,4,5,5,2,4,4,3,2,2,3,NA,2,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"No contact",4,3.26666666666667,2,3,1.7,4,4,4,0,NA,1.7,NA
"67",25,"France",1,6,6,6,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,"Female",1,1,NA,NA,NA,1,1,1,NA,1,1,NA,"No contact",1,5,NA,6,6,1,1,1,0,NA,6,NA
"68",22,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",3,3,2,3,3,3,3,2,3,3,5,4,"No contact",2.8,NA,2,5,2.9,2.8,2.8,2.8,0,NA,2.9,NA
"69",21,"France",5,1,1,1,4,3,4,3,3,2,4,2,1,1,2,4,1,2,"Female",4,4,2,4,1,4,4,2,4,1,6,6,"No contact",3,2.53333333333333,2,2,1.1,3,3,3,0,NA,1.1,NA
"70",18,"France",4,3,1,1,4,3,5,4,4,2,2,3,3,2,1,3,2,2,"Female",3,3,2,2,3,3,3,2,2,3,1,2,"No contact",2.6,2.73333333333333,3,4,2.8,2.6,2.6,2.6,0,NA,2.8,NA
"71",20,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",4,4,4,4,4,4,4,4,4,4,5,5,"No contact",4,NA,3,4,2.8,4,4,4,0,NA,2.8,NA
"72",18,"France",5,5,2,2,4,3,6,3,5,2,2,2,3,2,2,3,1,1,"Female",3,3,2,4,3,3,3,3,4,3,4,3,"No contact",3.1,3.2,3,3,2.2,3,3.2,3.1,0,NA,2.2,NA
"73",23,"France",2,6,1,4,5,2,5,5,3,5,2,5,5,6,5,4,5,4,"Female",1,1,1,1,2,1,1,1,1,2,1,1,"No contact",1.2,4,7,6,6,1.2,1.2,1.2,0,NA,6,NA
"74",19,"France",4,4,2,1,4,4,5,4,4,4,4,4,3,3,3,3,3,3,"Female",4,4,3,4,4,4,4,3,4,4,6,6,"No contact",3.8,3.46666666666667,3,3,2.2,3.8,3.8,3.8,0,NA,2.2,NA
"75",19,"France",1,3,2,2,4,3,5,4,6,4,4,4,4,3,5,4,4,3,"Female",3,3,2,3,4,3,3,3,3,4,5,4,"No contact",3.1,3.6,2,3,1.7,3,3.2,3.1,0,NA,1.7,NA
"76",18,"France",5,5,2,1,4,5,NA,3,4,4,3,4,4,4,4,3,4,3,"Female",3,4,2,4,4,NA,NA,NA,NA,NA,6,5,"No contact",3.4,3.71428571428571,2,4,2.3,3.4,NA,3.4,0,NA,2.3,NA
"77",19,"France",4,5,1,1,4,3,4,3,4,3,4,3,NA,NA,NA,NA,NA,NA,"Female",1,2,2,3,2,1,2,2,2,2,2,2,"No contact",1.9,3.27272727272727,4,6,4.5,2,1.8,1.9,0,NA,4.5,NA
"78",18,"France",5,2,3,1,5,2,5,4,4,3,3,4,4,4,4,4,4,4,"Female",4,4,4,4,4,4,4,4,4,4,6,5,"No contact",4,3.53333333333333,2,4,2.3,4,4,4,0,NA,2.3,NA
"79",22,"France",1,1,1,1,2,1,3,1,2,1,1,2,4,3,3,3,3,3,"Female",3,3,3,3,3,3,3,3,3,3,5,5,"No contact",3,1.93333333333333,2,2,1.1,3,3,3,0,NA,1.1,NA
"80",19,"France",4,5,1,1,4,3,5,5,6,5,4,2,1,3,2,5,2,3,"Female",3,4,NA,4,3,4,4,2,4,3,5,4,"No contact",3.44444444444444,3.4,3,3,2.2,3.5,3.4,3.45,0,NA,2.2,NA
"81",NA,"France",5,5,4,3,5,4,5,5,2,5,3,4,4,5,3,2,3,4,"Female",1,1,1,1,1,1,1,1,1,1,1,1,"No contact",1,3.93333333333333,3,5,3.4,1,1,1,0,NA,3.4,NA
"82",21,"France",6,5,4,3,6,3,4,4,4,3,4,4,4,4,4,4,3,4,"Female",3,3,3,3,3,4,3,3,3,3,4,2,"No contact",3.1,4.13333333333333,3,3,2.2,3,3.2,3.1,0,NA,2.2,NA
"83",20,"France",5,5,2,2,5,5,5,3,4,4,4,4,NA,NA,NA,NA,NA,NA,"Female",3,3,3,3,3,3,3,3,3,3,5,5,"No contact",3,4.09090909090909,3,4,2.8,3,3,3,0,NA,2.8,NA
"84",22,"France",1,4,1,1,5,4,6,4,4,4,3,3,3,3,4,3,3,3,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"No contact",4,3.26666666666667,2,2,1.1,4,4,4,0,NA,1.1,NA
"85",21,"France",2,2,1,1,4,2,2,3,2,2,2,1,2,2,2,2,1,1,"Female",3,3,1,2,3,3,3,1,2,3,2,2,"No contact",2.4,1.93333333333333,3,3,2.2,2.4,2.4,2.4,0,NA,2.2,NA
"86",25,"France",4,2,2,2,6,2,6,3,6,3,4,1,2,2,2,1,2,2,"Female",4,4,NA,4,3,4,4,3,4,3,6,6,"No contact",3.66666666666667,3,2,4,2.3,3.75,3.6,3.675,0,NA,2.3,NA
"87",19,"France",4,5,2,2,4,3,3,4,3,3,1,3,5,5,4,4,4,5,"Female",4,4,3,4,4,4,4,3,4,4,5,5,"No contact",3.8,3.4,3,5,3.4,3.8,3.8,3.8,0,NA,3.4,NA
"88",27,"France",6,5,3,3,6,2,6,3,4,3,4,2,5,4,4,3,4,4,"Female",2,2,2,2,2,2,2,2,2,2,2,2,"No contact",2,4,5,5,4.4,2,2,2,0,NA,4.4,NA
"89",31,"France",3,5,2,2,4,5,2,5,3,5,2,4,6,6,4,4,6,6,"Female",1,1,1,1,1,1,1,1,1,1,1,1,"No contact",1,3.8,7,6,6,1,1,1,0,NA,6,NA
"90",23,"France",5,6,2,2,5,5,6,5,4,2,2,2,5,6,4,2,5,5,"Female",1,2,1,1,2,1,2,1,1,2,1,1,"No contact",1.4,3.86666666666667,7,6,6,1.4,1.4,1.4,0,NA,6,NA
"91",20,"France",1,1,1,1,1,1,NA,1,NA,1,NA,NA,1,1,1,1,1,1,"Female",4,4,4,4,3,4,4,4,4,3,6,6,"No contact",3.8,1,2,3,1.7,3.8,3.8,3.8,0,NA,1.7,NA
"92",35,"France",5,2,3,1,3,4,6,1,6,4,1,5,4,5,4,2,3,2,"Female",2,2,4,4,4,2,2,4,4,4,3,2,"No contact",3.2,3.66666666666667,3,3,2.2,3.2,3.2,3.2,0,NA,2.2,NA
"93",NA,"France",5,1,3,1,5,1,5,3,5,1,1,4,4,3,1,1,1,1,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"No contact",4,2.73333333333333,2,2,1.1,4,4,4,0,NA,1.1,NA
"94",25,"France",4,6,5,3,5,3,4,4,4,4,4,4,4,4,4,4,4,4,"Male",2,2,2,3,3,2,2,2,3,3,2,2,"No contact",2.4,4.13333333333333,4,5,3.9,2.4,2.4,2.4,0,NA,3.9,NA
"95",39,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",4,4,3,4,4,4,4,3,4,4,1,1,"No contact",3.8,NA,4,3,2.7,3.8,3.8,3.8,0,NA,2.7,NA
"96",30,"France",1,6,6,6,4,6,6,2,6,6,4,5,6,6,6,5,6,5,"Male",1,2,2,1,1,1,2,3,1,1,1,1,"No contact",1.5,5.26666666666667,4,6,4.5,1.4,1.6,1.5,0,NA,4.5,NA
"97",18,"France",5,2,3,2,2,2,3,3,4,2,2,2,NA,NA,NA,NA,NA,NA,"Male",2,2,2,2,3,2,2,2,3,3,1,2,"No contact",2.3,2.63636363636364,2,2,1.1,2.2,2.4,2.3,0,NA,1.1,NA
"98",23,"France",6,4,1,2,5,4,4,4,4,4,4,5,4,4,4,6,4,5,"Male",1,1,NA,1,2,1,1,1,1,2,1,1,"No contact",1.22222222222222,4.06666666666667,3,6,4,1.25,1.2,1.225,0,NA,4,NA
"99",20,"France",6,5,4,5,6,4,6,2,6,6,3,5,5,6,4,3,6,4,"Male",2,2,1,2,3,4,3,3,3,3,2,2,"No contact",2.6,4.93333333333333,2,4,2.3,2,3.2,2.6,0,NA,2.3,NA
"100",37,"France",4,5,3,3,5,4,4,3,3,3,3,3,3,4,3,4,3,3,"Male",3,3,3,3,3,3,3,3,3,3,5,4,"No contact",3,3.6,3,4,2.8,3,3,3,0,NA,2.8,NA
"101",18,"France",5,6,4,5,6,5,4,6,6,6,1,5,6,6,3,2,4,4,"Male",1,1,1,1,1,1,1,1,1,1,1,1,"No contact",1,4.66666666666667,7,6,6,1,1,1,0,NA,6,NA
"102",25,"France",4,3,1,1,6,1,5,4,4,4,5,2,5,4,2,1,2,2,"Male",4,4,4,4,4,4,4,4,4,4,6,6,"No contact",4,3.2,3,5,3.4,4,4,4,0,NA,3.4,NA
"103",19,"France",1,1,1,1,1,2,2,2,2,1,1,2,NA,NA,NA,NA,NA,NA,"Male",4,4,4,4,4,4,4,3,4,4,6,6,"No contact",3.9,1.36363636363636,2,3,1.7,4,3.8,3.9,0,NA,1.7,NA
"104",23,"France",4,6,4,4,5,6,5,4,5,5,3,3,5,6,5,3,5,5,"Male",1,1,1,1,1,1,2,1,1,1,1,1,"No contact",1.1,4.6,7,6,6,1,1.2,1.1,0,NA,6,NA
"105",19,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",1,1,1,1,1,1,1,1,1,1,1,1,"No contact",1,NA,7,6,6,1,1,1,0,NA,6,NA
"106",20,"France",3,3,4,2,4,4,4,3,4,3,3,3,3,3,3,3,3,3,"Male",4,4,3,4,4,4,4,3,4,4,5,3,"No contact",3.8,3.26666666666667,3,2,1.6,3.8,3.8,3.8,0,NA,1.6,NA
"107",21,"France",6,2,4,2,6,3,5,3,4,3,4,3,4,4,4,4,4,5,"Male",4,4,3,4,4,4,4,3,4,4,5,5,"No contact",3.8,3.86666666666667,2,3,1.7,3.8,3.8,3.8,0,NA,1.7,NA
"108",21,"France",NA,3,2,2,4,2,5,4,5,4,2,3,4,5,3,3,3,3,"Male",2,2,3,3,3,2,3,3,3,3,1,1,"No contact",2.7,3.35714285714286,2,2,1.1,2.6,2.8,2.7,0,NA,1.1,NA
"109",23,"France",1,3,1,1,3,1,1,3,2,3,1,3,6,6,6,5,6,5,"Male",3,3,2,2,3,3,3,2,2,3,2,2,"No contact",2.6,2.86666666666667,2,3,1.7,2.6,2.6,2.6,0,NA,1.7,NA
"110",22,"France",5,4,2,1,6,1,4,4,4,1,1,4,3,2,3,2,1,3,"Male",3,3,3,3,3,3,3,3,3,3,6,6,"No contact",3,2.86666666666667,4,4,3.3,3,3,3,0,NA,3.3,NA
"111",19,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",4,4,1,4,4,4,4,3,4,4,6,5,"No contact",3.6,NA,2,2,1.1,3.4,3.8,3.6,0,NA,1.1,NA
"112",20,"France",4,5,5,3,6,3,6,4,4,4,4,4,6,6,5,5,4,5,"Male",1,1,1,1,2,2,1,1,1,2,1,2,"No contact",1.3,4.66666666666667,2,3,1.7,1.2,1.4,1.3,0,NA,1.7,NA
"113",22,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"No contact",NA,NA,2,3,1.7,NA,NA,NA,0,NA,1.7,NA
"114",20,"France",5,2,3,3,4,4,5,4,6,4,3,6,6,6,6,6,6,6,"Male",3,3,3,3,3,4,4,4,3,3,5,4,"No contact",3.3,4.6,2,2,1.1,3,3.6,3.3,0,NA,1.1,NA
